treeID,stemID,tag,StemTag,sp,quadrat,gx,gy,MeasureID,CensusID,dbh,pom,hom,ExactDate,DFstatus,codes,nostems,status,date
34880,43523,26992,26992,SLOBER,905,173.54,92.82,448922,5,65,1.3,1.3,15196,alive,MAIN;A,1,A,NA
34937,43585,2706,2706,SLOBER,704,129.75,79.18,435872,5,129,1.35,1.35,15173,alive,MAIN;A,1,A,NA
34977,43627,27108,27108,TRIPAL,1005,187.82,83.02,448968,5,42.5,1.35,1.35,15196,alive,MAIN;A,1,A,NA
35034,43687,27174,27174,MANBID,905,168.25,82.04,449009,5,74,1.3,1.3,15196,alive,MAIN;A,1,A,NA
35035,43688,27175,27175,MANBID,805,154.01,81.2,449010,5,70,1.3,1.3,15195,alive,MAIN;A,1,A,NA
35053,120684,27194,130535,SLOBER,805,154.51,95.11,449026,5,15.3,1.3,1.3,15195,alive,SPROUT;A,2,A,NA
35162,43818,27309,27309,MANBID,605,116.02,97.76,449073,5,59,1.3,1.3,15191,alive,MAIN;A,1,A,NA
35355,44026,27538,27538,SLOBER,1106,202.64,109.86,449169,5,50,1.4,1.4,15196,alive,MAIN;A;ST,1,A,NA
35381,44053,27566,27566,MANBID,1006,184.03,106.37,449188,5,30.6,1.3,1.3,15196,alive,MAIN;A,1,A,NA
35435,44114,27625,27625,MANBID,906,166.47,104.83,449207,5,29.2,1.3,1.3,15195,alive,MAIN;A,1,A,NA
35650,44346,27892,27892,COCPYR,506,86.89,113.39,449341,5,NA,NA,NA,15194,broken below,MAIN;A;LS;B,2,A,NA
35729,155495,27988,170583,SLOBER,506,84.07,111.49,449378,5,NA,NA,NA,15194,stem dead,SPROUT;LS,2,A,NA
35856,44596,28156,28156,UREBAC,306,45.72,102.71,449442,5,NA,NA,NA,15190,broken below,MAIN;A;LS;B,1,A,NA
35891,44634,282,282,DACEXC,901,172.45,14.73,434266,5,269,1.25,1.26,15153,alive,MAIN;A,1,A,NA
36181,44951,28529,28529,CASSYL,107,10.4,124.58,449525,5,33.8,1.35,1.37,15205,alive,MAIN;A,1,A,NA
